name,salary_from,salary_to,salary_currency,area_name,published_at
Инженер-разработчик,378000.0,,KZT,Караганда,2022-12-16T06:13:28+0300
Главный специалист развития инфраструктуры в нефтедобывающую компанию,200000.0,,RUR,Санкт-Петербург,2022-12-16T06:29:05+0300
Аналитик (Junior),45000.0,55000.0,RUR,Владивосток,2022-12-16T06:51:07+0300
Копирайтер UFA1.RU,,,,Уфа,2022-12-16T06:36:13+0300
"Сеньор программист 1С БП, ЗУП в международную компанию",280000.0,,RUR,Москва,2022-12-16T06:28:45+0300
Механик по ремонту ГПМ,60000.0,65000.0,RUR,Екатеринбург,2022-12-16T06:49:47+0300
Руководитель проекта по запуску цифровой образовательной оффлайн школы в Сколково,400000.0,,RUR,Москва,2022-12-16T06:29:08+0300
Специалист по технической защите информации 2 категории отдела защиты государственной тайны,50000.0,,RUR,Якутск,2022-12-16T05:06:41+0300
Web-разработчик,20000.0,35000.0,RUR,Абакан,2022-12-16T05:18:54+0300
Инженер технической поддержки САПР,60000.0,,RUR,Новосибирск,2022-12-16T05:30:07+0300
Специалист по обслуживанию и ремонту авиационных поршневых двигателей,80000.0,100000.0,RUR,Новосибирск,2022-12-16T06:06:41+0300
Оператор станков с ЧПУ,50000.0,60000.0,RUR,Челябинск,2022-12-16T06:48:51+0300
Программист 1C,45000.0,55000.0,RUR,Красноярск,2022-12-16T04:31:00+0300
Главный механик,,100100.0,RUR,Хабаровск,2022-12-16T04:45:30+0300
Механик,,,,Свободный,2022-12-16T05:49:26+0300
Электромеханик,80000.0,,RUR,Шерегеш,2022-12-16T04:54:26+0300
Ведущий специалист сопровождения 1С,,,,Новосибирск,2022-12-16T06:34:25+0300
Начальник отдела информационных технологий,85000.0,,RUR,Ангарск,2022-12-16T06:55:08+0300
Руководитель проектов,,,,Калуга,2022-12-16T05:56:59+0300
"Монтажник слаботочных систем (АПС, СОУЭ, СКУД)",50000.0,,RUR,Новосибирск,2022-12-16T05:09:42+0300
Контент-менеджер,40000.0,55000.0,RUR,Санкт-Петербург,2022-12-16T06:58:29+0300
Project manager (создание лендингов),60000.0,90000.0,RUR,Москва,2022-12-16T06:04:33+0300
Аналитик,,,,Новосибирск,2022-12-16T06:12:56+0300
Механик,,,,Циолковский,2022-12-16T05:49:26+0300
Инженер электросвязи,39000.0,,RUR,Якутск,2022-12-16T06:10:47+0300
Ведущий инженер ТСО,50000.0,,RUR,Новосибирск,2022-12-16T05:13:04+0300
Руководитель отдела сервиса официального дилера,,,,Новосибирск,2022-12-16T06:27:58+0300
Оператор станка с ЧПУ,60000.0,80000.0,RUR,Новосибирск,2022-12-16T06:09:48+0300
Оператор деревообрабатывающего станка с ЧПУ (модельщик),50000.0,,RUR,Барнаул,2022-12-16T05:02:27+0300
Flutter developer,,,,Томск,2022-12-16T05:49:34+0300
Графический дизайнер,,,,Тюмень,2022-12-16T05:09:30+0300
Механик - снабженец (Красноярск),60000.0,60000.0,RUR,Красноярск,2022-12-16T05:22:03+0300
Инженер по безопасности дорожного движения,,,,Талакан (Амурская область),2022-12-16T05:18:34+0300
Механик по транспорту,40000.0,50000.0,RUR,Челябинск,2022-12-16T06:25:30+0300
Специалист по защите информации,60000.0,60000.0,RUR,Сургут,2022-12-16T06:15:23+0300
Системный администратор,,,,Артем,2022-12-16T05:03:45+0300
Фрезеровщик,50000.0,,RUR,Омск,2022-12-16T05:35:25+0300
Системный администратор,86000.0,,RUR,Артем,2022-12-16T06:14:06+0300
Ведущий инженер - электроник (г.Усть-Илимск),80000.0,100000.0,RUR,Братск,2022-12-16T05:24:24+0300
Инженер по безопасности дорожного движения,,,,Тында,2022-12-16T05:18:34+0300
Механик,,,,Шимановск,2022-12-16T05:49:26+0300
